No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
98,Jeffery Simmons,26,DT,3,3,305,6-4,Mississippi St.,7/28/1997,4,,Tennessee Titans / 1st / 19th pick / 2019,SimmJe01
77,Peter Skoronski,22,OL,1,1,315,,Northwestern,7/31/2001,Rook,,Tennessee Titans / 1st / 11th pick / 2023,SkorPe00
32,Tyjae Spears,22,RB,3,0,195,,Tulane,6/15/2001,Rook,,Tennessee Titans / 3rd / 81st pick / 2023,SpeaTy00
4,Ryan Stonehouse,24,P,3,0,185,5-11,Colorado St.,5/11/1999,1,,,StonRy00
17,Ryan Tannehill,35,QB,3,3,217,6-4,Texas A&M,7/27/1988,11,,Miami Dolphins / 1st / 8th pick / 2012,TannRy00
93,Teair Tart,26,DT,3,3,304,6-2,Florida International,2/28/1997,3,,,TartTe00
20,Kindle Vildor,26,CB,1,0,189,5-11,Georgia Southern,12/11/1997,3,,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
99,Rashad Weaver,26,OLB,3,0,259,6-4,Pittsburgh,11/10/1997,2,,Tennessee Titans / 4th / 135th pick / 2021,WeavRa00
88,Trevon Wesco,28,TE,3,2,267,6-3,West Virginia,9/12/1995,4,,New York Jets / 4th / 121st pick / 2019,WescTr00
15,Nick Westbrook-Ikhine,26,WR,3,1,215,6-2,Indiana,3/21/1997,3,,,WestNi00
81,Josh Whyle,24,TE,3,0,245,,Cincinnati,9/8/1999,Rook,,Tennessee Titans / 5th / 147th pick / 2023,WhylJo01
7,Malik Willis,24,QB,1,0,215,6-1,AuburnLiberty,5/25/1999,1,,Tennessee Titans / 3rd / 86th pick / 2022,WillMa12
78,Nicholas Petit-Frere (SUS),24,OL,0,0,315,6-5,Ohio St.,9/15/1999,1,,Tennessee Titans / 3rd / 69th pick / 2022,PetiNi00
3,Caleb Farley (PUP),25,CB,0,0,197,6-2,Virginia Tech,11/2/1998,2,,Tennessee Titans / 1st / 22nd pick / 2021,FarlCa00
44,Mike Brown (IR),24,S,3,0,222,,Miami (OH),4/7/1999,1,,,BrowMi02
91,Shakel Brown (IR),26,DT,0,0,299,6-4,Troy,12/4/1997,Rook,,,BrowSh01
36,Julius Chestnut (IR),23,RB,3,0,228,5-11,Sacred Heart,10/26/2000,1,,,ChesJu00
5,Kearis Jackson (IR),24,WR,2,0,200,,Georgia,12/9/1999,Rook,,,JackKe02
18,Kyle Philips (IR),24,WR,0,0,191,5-11,UCLA,6/17/1999,1,,Tennessee Titans / 5th / 163rd pick / 2022,PhilKy01
25,Hassan Haskins (EXE),24,RB,0,0,220,6-1,Michigan,11/26/1999,1,,Tennessee Titans / 4th / 131st pick / 2022,HaskHa00
,Team Total,26.6,,3,,245.0,6-2.0,,,3.5,,,-9999
