No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
93,Mark Robinson,24,LB,3,0,220,6-0,PresbyterianSE Missouri St.Mississippi,8/14/1999,1,,Pittsburgh Steelers / 7th / 225th pick / 2022,RobiMa03
2,Mason Rudolph,28,QB,0,0,235,6-5,Oklahoma St.,7/17/1995,4,,Pittsburgh Steelers / 3rd / 76th pick / 2018,RudoMa00
73,Isaac Seumalo,30,G,3,3,303,6-4,Oregon St.,10/29/1993,7,,Philadelphia Eagles / 3rd / 79th pick / 2016,SeumIs00
34,Chandon Sullivan,27,CB,3,0,189,5-11,Georgia St.,8/7/1996,5,,,SullCh00
10,Mitchell Trubisky,29,QB,0,0,220,6-2,North Carolina,8/20/1994,6,,Chicago Bears / 1st / 2nd pick / 2017,TrubMi00
29,Levi Wallace,28,CB,3,2,179,6-0,Alabama,6/12/1995,5,,,WallLe00
30,Jaylen Warren,25,RB,3,0,215,,Snow College (UT)Utah St.Oklahoma St.,11/1/1998,1,,,WarrJa01
80,Darnell Washington,22,TE,3,2,270,,Georgia,8/17/2001,Rook,,Pittsburgh Steelers / 3rd / 93rd pick / 2023,WashDa03
90,T.J. Watt,29,LB,3,3,252,6-4,Wisconsin,10/11/1994,6,,Pittsburgh Steelers / 1st / 30th pick / 2017,WattT.00
94,Armon Watts,27,DT,2,0,307,6-5,Arkansas,7/22/1996,4,,Minnesota Vikings / 6th / 190th pick / 2019,WattAr01
97,Cameron Heyward (IR),34,DT,1,1,295,6-5,Ohio St.,5/6/1989,12,,Pittsburgh Steelers / 1st / 31st pick / 2011,HeywCa01
18,Diontae Johnson (IR),27,WR,2,1,183,5-10,Toledo,7/5/1996,4,,Pittsburgh Steelers / 3rd / 66th pick / 2019,JohnDi01
26,Anthony McFarland Jr. (IR),24,RB,2,0,198,5-9,Maryland,3/4/1999,3,,Pittsburgh Steelers / 4th / 124th pick / 2020,McFaAn00
49,Chapelle Russell (IR),26,LB,0,0,236,6-2,Temple,1/20/1997,3,,Tampa Bay Buccaneers / 7th / 241st pick / 2020,RussCh00
33,Josiah Scott (IR),24,CB,0,0,175,5-10,Michigan St.,4/5/1999,3,,Jacksonville Jaguars / 4th / 137th pick / 2020,ScotJo00
27,Cory Trice (IR),23,CB,0,0,215,,Purdue,5/30/2000,Rook,,Pittsburgh Steelers / 7th / 241st pick / 2023,TricCo00
79,Renell Wren (IR),28,DT,0,0,315,6-5,Arizona St.,10/23/1995,4,,Cincinnati Bengals / 4th / 125th pick / 2019,WrenRe00
,Team Total,26.7,,3,,241.8,6-2.0,,,4.1,,,-9999
