No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
79,Raiqwon O'Neal,23,T,2,0,300,6-3,RutgersUCLA,1/12/2000,Rook,,,ONeaRa00
51,Olusegun Oluwatimi,24,C,2,0,307,,Air ForceVirginiaMichigan,8/5/1999,Rook,,Seattle Seahawks / 5th / 154th pick / 2023,OluwOl00
84,Colby Parkinson,24,TE,3,1,251,6-7,Stanford,1/8/1999,3,,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
90,Jarran Reed,31,DE,3,3,313,6-3,East Mississippi CCAlabama,12/16/1992,7,,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02
32,Jerrick Reed,23,S,3,0,195,5-10,Northwest Mississippi CCNew Mexico,8/7/2000,Rook,,Seattle Seahawks / 6th / 198th pick / 2023,ReedJe00
38,Brady Russell,25,TE,1,0,247,6-3,Colorado,8/31/1998,Rook,,,RussBr00
7,Geno Smith,33,QB,3,3,221,6-3,West Virginia,10/10/1990,10,,New York Jets / 2nd / 39th pick / 2013,SmitGe00
11,Jaxon Smith-Njigba,21,WR,3,0,198,,Ohio St.,2/14/2002,Rook,,Seattle Seahawks / 1st / 20th pick / 2023,SmitJa06
41,Chris Stoll,25,LS,3,0,255,6-2,Penn St.,8/3/1998,Rook,,,StolCh00
52,Darrell Taylor,26,LB,3,1,267,6-4,Tennessee,3/24/1997,2,,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00
42,Drake Thomas,23,LB,3,0,228,,North Carolina St.,2/25/2000,Rook,,,ThomDr00
54,Bobby Wagner,33,LB,3,3,242,6-0,Utah St.,6/27/1990,11,,Seattle Seahawks / 2nd / 47th pick / 2012,WagnBo00
9,Kenneth Walker III,23,RB,3,3,211,5-9,Wake ForestMichigan St.,10/20/2000,1,,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
21,Devon Witherspoon,23,CB,2,2,180,,Illinois,12/11/2000,Rook,,Seattle Seahawks / 1st / 5th pick / 2023,WithDe00
27,Riq Woolen,24,CB,2,2,205,6-4,Texas-San Antonio,5/2/1999,1,,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
93,Cameron Young,23,DT,3,0,315,,Mississippi St.,6/8/2000,Rook,,Seattle Seahawks / 4th / 123rd pick / 2023,YounCa00
1,D'Wayne Eskridge (SUS),26,WR,0,0,190,5-9,Western Michigan,3/23/1997,2,,Seattle Seahawks / 2nd / 56th pick / 2021,EskrDW00
64,Austin Faoliu (PUP),24,NT,0,0,293,6-3,Oregon,1/9/1999,2,,,FaolAu00
91,Bryan Mone (PUP),28,DT,0,0,345,6-3,Michigan,10/20/1995,4,,,MoneBr00
72,Abraham Lucas (IR),25,T,1,1,322,6-6,Washington St.,10/25/1998,1,,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
25,Kenny McIntosh (IR),23,RB,0,0,204,,Georgia,3/3/2000,Rook,,Seattle Seahawks / 7th / 237th pick / 2023,McInKe00
94,Mike Morris (IR),22,DE,1,0,292,,Michigan,4/22/2001,Rook,,Seattle Seahawks / 5th / 151st pick / 2023,MorrMi00
49,Josh Onujiogu (IR),25,LB,0,0,252,6-2,Framingham St.,3/3/1998,1,,,OnujJo00
38,Andrew Whitaker (IR),24,CB,0,0,183,6-0,Washington (MO),1/16/1999,Rook,,,WhitAn01
83,Dareke Young (IR),24,WR,0,0,223,6-2,Lenoir-Rhyne,6/4/1999,1,,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02
,Team Total,25.7,,3,,248.7,6-2.0,,,3.0,,,-9999
