No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
10,Gardner Minshew II,27,QB,3,1,225,6-1,Northwest Mississippi CCEast CarolinaWashington St.,5/16/1996,4,,Jacksonville Jaguars / 6th / 178th pick / 2019,MinsGa00
23,Kenny Moore,28,CB,3,3,190,5-9,Valdosta St.,8/23/1995,6,,,MoorKe03
21,Zack Moss,26,RB,2,2,205,5-9,Utah,12/15/1997,3,,Buffalo Bills / 3rd / 86th pick / 2020,MossZa00
56,Quenton Nelson,27,G,3,3,330,6-5,Notre Dame,3/19/1996,5,,Indianapolis Colts / 1st / 6th pick / 2018,NelsQu00
54,Dayo Odeyingbo,24,DE,3,0,276,6-6,Vanderbilt,9/24/1999,2,,Indianapolis Colts / 2nd / 54th pick / 2021,OdeyDa00
85,Andrew Ogletree,25,TE,2,1,260,6-5,FindlayYoungstown St.,7/28/1998,Rook,,Indianapolis Colts / 6th / 192nd pick / 2022,OgleAn00
50,Segun Olubi,24,LB,3,0,225,6-0,Col. of IdahoSaddleback CollegeHardingSan Diego St.,11/1/1999,1,,,OlubSe00
51,Kwity Paye,25,DE,3,3,261,6-2,Michigan,11/19/1998,2,,Indianapolis Colts / 1st / 21st pick / 2021,PayeKw00
14,Alec Pierce,23,WR,3,3,213,6-3,Cincinnati,5/2/2000,1,,Indianapolis Colts / 2nd / 53rd pick / 2022,PierAl00
11,Michael Pittman Jr.,26,WR,3,3,223,6-4,USC,10/5/1997,3,,Indianapolis Colts / 2nd / 34th pick / 2020,PittMi01
79,Bernhard Raimann,26,T,3,3,290,6-7,Central Michigan,9/23/1997,1,,Indianapolis Colts / 3rd / 77th pick / 2022,RaimBe00
46,Luke Rhodes,31,LS,3,0,238,6-2,William & Mary,12/2/1992,7,,,RhodLu00
5,Anthony Richardson,21,QB,2,2,232,,Florida,5/22/2002,Rook,,Indianapolis Colts / 1st / 4th pick / 2023,RichAn03
8,Rigoberto Sanchez,29,P,3,0,195,6-0,Hawaii,9/8/1994,6,,,SancRi00
27,Trey Sermon,24,RB,1,0,215,6-0,OklahomaOhio St.,1/30/1999,2,,San Francisco 49ers / 3rd / 88th pick / 2021,SermTr00
65,Josh Sills,25,G,3,0,325,6-6,West VirginiaOklahoma St.,1/26/1998,1,,,SillJo00
72,Braden Smith,27,T,3,3,315,6-6,Auburn,3/25/1996,5,,Indianapolis Colts / 2nd / 37th pick / 2018,SmitBr06
45,E.J. Speed,28,LB,3,2,224,6-3,Tarleton St.,6/1/1995,4,,Indianapolis Colts / 5th / 164th pick / 2019,SpeeEJ00
90,Grover Stewart,30,DT,3,3,315,6-4,Albany State (GA),10/20/1993,6,,Indianapolis Colts / 4th / 144th pick / 2017,StewGr00
41,Grant Stuard,25,LB,3,0,230,5-11,Houston,10/15/1998,2,,Tampa Bay Buccaneers / 7th / 259th pick / 2021,StuaGr00
25,Rodney Thomas II,25,S,3,3,200,6-2,Yale,6/26/1998,1,,Indianapolis Colts / 7th / 239th pick / 2022,ThomRo07
28,Jonathan Taylor (PUP),24,RB,0,0,226,5-10,Wisconsin,1/19/1999,3,,Indianapolis Colts / 2nd / 41st pick / 2020,TaylJo02
67,Jack Anderson (IR),25,G,0,0,315,6-5,Texas Tech,10/12/1998,2,,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01
92,Genard Avery (IR),28,DE,0,0,250,6-0,Memphis,4/26/1995,5,,Cleveland Browns / 5th / 150th pick / 2018,AverGe00
16,Ashton Dulin (IR),26,WR,0,0,215,6-1,Malone,5/15/1997,4,,,DuliAs00
26,Evan Hull (IR),23,RB,1,0,210,5-11,Northwestern,10/26/2000,Rook,,Indianapolis Colts / 5th / 176th pick / 2023,HullEv00
91,Titus Leo (IR),24,DE,0,0,245,6-4,Wagner,8/26/1999,Rook,,Indianapolis Colts / 6th / 211th pick / 2023,LeoxTi00
63,Danny Pinter (IR),27,G,0,0,306,6-4,Ball St.,6/19/1996,3,,Indianapolis Colts / 5th / 149th pick / 2020,PintDa00
31,Daniel Scott (IR),25,S,0,0,215,,California,10/26/1998,Rook,,Indianapolis Colts / 5th / 158th pick / 2023,ScotDa03
37,Isaac Taylor-Stuart (IR),24,CB,0,0,200,,USC,10/25/1999,Rook,,,TaylIs00
76,Jake Witt (IR),23,T,0,0,282,6-7,Michigan TechNorthern Michigan,2/7/2000,Rook,,Indianapolis Colts / 7th / 236th pick / 2023,WittJa01
80,Jelani Woods (IR),25,TE,0,0,265,6-7,Oklahoma St.Virginia,10/9/1998,1,,Indianapolis Colts / 3rd / 73rd pick / 2022,WoodJe01
,Team Total,25.9,,3,,242.5,6-2.3,,,2.9,,,-9999
